user_id,item_name,price,category,date_purchased
1,Vacuum Cleaner,150,home,2024-08-15
1,Lamp,30,home,2024-10-08
1,Curtains,40,home,2024-09-08
1,Bookshelf,100,home,2024-10-05
1,Vacuum Cleaner,150,home,2024-10-23
1,Vacuum Cleaner,150,home,2024-10-23
1,Blender,50,home,2024-09-29
1,Vacuum Cleaner,150,home,2024-09-06
1,Lamp,30,home,2024-10-07
1,Blender,50,home,2024-09-17
1,Vegetables,15,groceries,2024-09-07
1,Vegetables,15,groceries,2024-09-17
1,Chicken,10,groceries,2024-09-03
1,Bread,2,groceries,2024-10-06
1,Cheese,5,groceries,2024-08-11
1,Vegetables,15,groceries,2024-09-04
1,Vegetables,15,groceries,2024-08-11
1,Bread,2,groceries,2024-10-22
1,Chicken,10,groceries,2024-08-03
1,Bread,2,groceries,2024-09-23
1,Vegetables,15,groceries,2024-09-14
1,Cheese,5,groceries,2024-10-09
1,Vegetables,15,groceries,2024-10-28
1,Vegetables,15,groceries,2024-08-21
1,Cheese,5,groceries,2024-09-18
1,Bread,2,groceries,2024-10-09
1,Milk,3,groceries,2024-10-22
1,Milk,3,groceries,2024-09-25
1,Cheese,5,groceries,2024-09-18
1,Milk,3,groceries,2024-08-25
1,Vegetables,15,groceries,2024-10-21
1,Cheese,5,groceries,2024-08-17
1,Eggs,4,groceries,2024-09-13
1,Vegetables,15,groceries,2024-10-28
1,Bread,2,groceries,2024-10-09
1,Chicken,10,groceries,2024-08-10
1,Eggs,4,groceries,2024-09-25
1,Chicken,10,groceries,2024-09-26
1,Eggs,4,groceries,2024-10-03
1,Chicken,10,groceries,2024-08-23
1,Eggs,4,groceries,2024-09-30
1,Vegetables,15,groceries,2024-08-14
1,Milk,3,groceries,2024-09-08
1,Cheese,5,groceries,2024-08-29
1,Chicken,10,groceries,2024-09-18
1,Cheese,5,groceries,2024-08-10
1,Vegetables,15,groceries,2024-08-30
1,Vegetables,15,groceries,2024-08-15
1,Chicken,10,groceries,2024-09-30
1,Chicken,10,groceries,2024-08-05
1,Vegetables,15,groceries,2024-10-28
1,Vegetables,15,groceries,2024-10-28
1,Cheese,5,groceries,2024-08-29
1,Vegetables,15,groceries,2024-09-12
1,Cheese,5,groceries,2024-09-21
1,Vegetables,15,groceries,2024-09-02
1,Eggs,4,groceries,2024-08-02
1,Chicken,10,groceries,2024-10-19
1,Eggs,4,groceries,2024-08-13
1,Chicken,10,groceries,2024-09-12
1,Milk,3,groceries,2024-10-14
1,Vegetables,15,groceries,2024-09-10
1,Cheese,5,groceries,2024-10-07
1,Bread,2,groceries,2024-09-30
1,Eggs,4,groceries,2024-09-21
1,Bread,2,groceries,2024-08-31
1,Vegetables,15,groceries,2024-08-05
1,Eggs,4,groceries,2024-10-11
1,Chicken,10,groceries,2024-09-11
1,Eggs,4,groceries,2024-09-30
1,Eggs,4,groceries,2024-10-28
1,Milk,3,groceries,2024-09-10
1,Eggs,4,groceries,2024-09-12
1,Milk,3,groceries,2024-10-20
1,Cheese,5,groceries,2024-09-09
1,Chicken,10,groceries,2024-10-12
1,Milk,3,groceries,2024-09-28
1,Cheese,5,groceries,2024-10-14
1,Eggs,4,groceries,2024-08-29
1,Eggs,4,groceries,2024-09-01
1,Eggs,4,groceries,2024-08-08
1,Bread,2,groceries,2024-08-19
1,Eggs,4,groceries,2024-10-15
1,Milk,3,groceries,2024-09-26
1,Cheese,5,groceries,2024-08-19
1,Eggs,4,groceries,2024-10-27
1,Vegetables,15,groceries,2024-10-05
1,Eggs,4,groceries,2024-08-18
1,Chicken,10,groceries,2024-10-26
1,Eggs,4,groceries,2024-09-26
1,Vegetables,15,groceries,2024-09-13
1,Eggs,4,groceries,2024-08-01
1,Eggs,4,groceries,2024-10-18
1,Chicken,10,groceries,2024-10-17
1,Vegetables,15,groceries,2024-08-04
1,Bread,2,groceries,2024-09-23
1,Eggs,4,groceries,2024-08-26
1,Chicken,10,groceries,2024-08-06
1,Milk,3,groceries,2024-10-14
1,Cheese,5,groceries,2024-08-13
1,Bread,2,groceries,2024-08-03
1,Vegetables,15,groceries,2024-10-16
1,Eggs,4,groceries,2024-10-28
1,Bread,2,groceries,2024-08-07
1,Cheese,5,groceries,2024-10-11
1,Chicken,10,groceries,2024-08-30
1,Cheese,5,groceries,2024-09-07
1,Bread,2,groceries,2024-10-15
1,Chicken,10,groceries,2024-09-16
1,Vegetables,15,groceries,2024-08-31
1,Eggs,4,groceries,2024-09-06
1,Bread,2,groceries,2024-10-27
1,Bread,2,groceries,2024-08-11
1,Eggs,4,groceries,2024-07-31
1,Eggs,4,groceries,2024-09-16
1,Chicken,10,groceries,2024-10-16
1,Milk,3,groceries,2024-08-08
1,Cheese,5,groceries,2024-10-20
1,Chicken,10,groceries,2024-08-08
1,Chicken,10,groceries,2024-09-04
1,Eggs,4,groceries,2024-09-26
1,Milk,3,groceries,2024-10-13
1,Milk,3,groceries,2024-09-23
1,Vegetables,15,groceries,2024-09-30
1,Eggs,4,groceries,2024-08-05
1,Vegetables,15,groceries,2024-10-15
1,Bread,2,groceries,2024-08-28
1,Chicken,10,groceries,2024-08-26
1,Chicken,10,groceries,2024-09-03
1,Milk,3,groceries,2024-08-20
1,Milk,3,groceries,2024-09-29
1,Chicken,10,groceries,2024-08-09
1,Bread,2,groceries,2024-08-08
1,Vegetables,15,groceries,2024-10-22
1,Chicken,10,groceries,2024-10-05
1,Eggs,4,groceries,2024-08-15
1,Chicken,10,groceries,2024-08-07
1,Eggs,4,groceries,2024-09-04
1,Vegetables,15,groceries,2024-09-11
1,Eggs,4,groceries,2024-10-11
1,Vegetables,15,groceries,2024-10-22
1,Milk,3,groceries,2024-08-04
1,Milk,3,groceries,2024-08-14
1,Cheese,5,groceries,2024-08-04
1,Eggs,4,groceries,2024-09-15
1,Vegetables,15,groceries,2024-09-15
1,Bread,2,groceries,2024-09-15
1,Chicken,10,groceries,2024-08-11
1,Milk,3,groceries,2024-09-01
1,Eggs,4,groceries,2024-08-24
1,Sneakers,60,clothing,2024-09-08
1,T-shirt,20,clothing,2024-10-23
1,Jeans,50,clothing,2024-10-22
1,Lotion,8,health and personal,2024-10-18
1,Soap,5,health and personal,2024-09-22
1,Lotion,8,health and personal,2024-09-26
1,Toothpaste,3,health and personal,2024-10-22
1,Soap,5,health and personal,2024-10-27
1,Soap,5,health and personal,2024-09-28
1,Vitamins,12,health and personal,2024-10-01
1,Lotion,8,health and personal,2024-10-01
1,Toothpaste,3,health and personal,2024-08-19
1,Lotion,8,health and personal,2024-10-16
1,Toothpaste,3,health and personal,2024-08-02
